Grievance,RepliedGrievance
"Respected sir, 
     I kindly request you for unlocking the college details because some mistake in my college details.",There is option for unlocking the form after you scroll down
zp instabaless zp bhandara college,Please provide indetail issue also send the screenshot.
zp instabaless zp bhandara college,What is your issue?
zp instabaless zp bhandara college,Provide screenshot
Procedure for Admission to be followed by Students after allotment is not filled. Can we edit this option?,Kindly share the screenshot.
"Plz unlock college information 
For changing Intake of college 
We fill intake of all branches and divisions as 80
And from your level it make 60
So plz change intake of all branches and divisions to 80
Also change Subjectwise intake to 80",Check after sometimes
"There is a mistake in the name of our college.
College details ... Jr College name has the name .... VIDHYAMANDIR HIGH SCHOOL EKHATPUR. 
But the recognition is VIDHYAMANDIR HIGHSCHOOL VA UCCHA MADHYAMK HIGHSCHOOL
EKHATPUR",we get data from board
"If the College such as ours belongs to the Linguistic Minority type 
and ""Linguistic Minority"" option is correctly Selected in College Details as well as in Stream Details Section

STILL in the Stream Details displayed in College Summary section Minority Type (If Applicable) APPEARS BLANK
instead of showing ""Linguistic Minority"".
Please correct this",Kindly share your seat number and application id/login id.
Ward No. and Zone does not match,"As per your address board, we are getting data from board"
We enter IT Subject fee but it not calculated in annual fee . Annula fees Column remain blank .,your issue is resolved. login and check
"Shriram Junior College is 20% Partially aided college, But an as your what app list it is private unaided college.. how is it?",please provide the detailed information of your college name with location.
ॲडमिशन,NA
"When the English Medium Composite Stream is created and all the subjects are added , after clicking the submit button it shows error",Please logout and login again
Kanya College Ichalkaranji,"Please Enter short name without space.
Thank You!"
Kanya College Ichalkaraji,okay
"Name of Junior College is HANSRAJ MORARJI JUNIOR COLLEGE OF SCIENCE AND COMMERCE

NOT - Hansraj Morarji High School",We will update.
Problem Face Adding composite Stream Details Please Guide us,We are already working on that kindly verify/check after sometime.
Commerce (Composite) Division are not display history subject in subject list.,Please check after sometimes.
Dashboard Needed for Technical Support Login on top Priority,Kindly verify/check after sometime
"Udise number 27311029603
College name - IQRA English medium School & Jr College of Science & Commerce (For Girls) Satara Dist - Satara",We are already working on that kindly verify/check after sometime.
"Udise number 27311029603
College name - IQRA English medium School & Jr College of Science & Commerce (For Girls) Satara Dist - Satara",Kindly check after sometimes
"Udise number 27311029603
College name - IQRA English medium School & Jr College of Science & Commerce (For Girls) Satara Dist - Satara",Kindly verify/check after sometime
"Udise number 27311029603
College name - IQRA English medium School & Jr College of Science & Commerce (For Girls) Satara Dist - Satara",Kindly verify/check after sometime
"Udise number 27311029603
College name - IQRA English medium School & Jr College of Science & Commerce (For Girls) Satara Dist - Satara",Okay
PDF Generate Problem on Chrome,Kindly verify/check after sometime
All data clear,Kindly verify/check after sometime
"As per telephonic conversation with Dy.D.E representative we came to know that the college name on the admission website is taken as it is from saral data, but on saral portal our college name is mentioned in short as M. M. C. C. Pune and we want to change it to its full name as Marathwada Mitra Mandal's Junior College of Commerce and Science Pune. We kindly request that the updated name be reflected promptly to avoid confusion among applicants.",please check after Sometime
"we have observed that the fees for the Information Technology (IT) subject are not appearing in the printout of the college registration form generated from the website. It is essential that the correct fee structure, including the IT subject fees, be updated to ensure transparency and accurate records.",please check after Sometime
"we have observed that the fees for the Information Technology (IT) subject are not appearing in the printout of the college registration form generated from the website. It is essential that the correct fee structure, including the IT subject fees, be updated to ensure transparency and accurate records.",please check after Sometime
Respected sir/mam.  At the time of documents  uploading their is a mistake in ..(our self decleration letter)  and our profile is locked how can we upload a new and correct one.....,"Open the 'Part One' menu and click on 'Lock Application Form'. Scroll down and click the 'Unlock' button. After that, you can upload a new and correct documents"
Subject needs to be changed. Request to unlock the registration form.,Just relog Your account and unlock your form the option will be editable
The issue is not downloading for print Pdf,Just relog Your account refresh the dashboard
Other फीस मध्ये फीस चुकीने टाकली गेलेली आहे तिथे शून्य करायचा आहे,please provide the screenshot or transaction id
"Respected Sir
                           While online registration of our Jr college in Management Quota and In-House Quota, We mistakenly chose no option. But we want to make in these respective quota.
                           So kindly give us the permission to make changes in these Quotas.",Please Contact to DYD.
not added stream,Please Refresh and check. Press ctrl+shift+R
Our actual seats are 480 but on site it is showing 420 seats. Kindly help us to correct this error.,Please Contact to DYD.
आमच्या उच्च माध्यमिक विद्यालयाची प्रवेश क्षमता 80 असून माहिती व्हेरिफाइड झाल्यानंतर ती 60 दर्शविण्यात येत आहे कृपया मार्गदर्शन सुचवावे,Please contact to DYD and correct.
Please Change My College Category into Attached to Secondary,Kindly unlock your part 2 form and update your college category or else.
Please Change My College Category and intake capecity,Kindly unlock your part 2 form and update your college category or else.
Standard,Please provide the details
Till morning site not working,Kindly check your internet connection.
Unable to pay since transaction is stuck in pending status.,Kindly verify/check after sometime
"After filling address details and try to save.  Massage is popping up. "" Application form filling closed""",Kindly verify/check after sometime
I am trying to fill my form and it is saying that application form is closed what should I do?,Why application form is closed?
my date birth is 29/09/2008 but it show 25/02/2010 after save details also,"We are looking into this issue. 
Kindly share your details i.e. Passing Status(Fresher/Repeater/Previously Passed)
Thank You!"
"Kindly see attached
Yet revaluation for SSC march 2025 have not given
Thanking you and oblige
Dr Sawant V J
parent","If you experience any issues during registration, please inform us. Please mention your issue in detail."
Payment done but not locked form,"If you want to lock form, please check all file are filed, accept declaration and click on Lock application button in Lock Application from screen."
"Kindly see attached
Yet revaluation for SSC march 2025 have not given
Thanking you and oblige
Dr Sawant V J
parent","If you experience any issues during registration, please inform us. Please mention your issue in detail."
"Kindly see attached
Yet revaluation for SSC march 2025 have not given
Thanking you and oblige
Dr Sawant V J
parent","If you experience any issues during registration, please inform us. Please mention your issue in detail."
i allready all details fill up and verify but lock form click show error registration details incomlete filed messing section,Please try again after some time
फॉर्म सबमीट होत नाही . पूर्ण बाबी भरल्या तरी देखील  फॉर्म लॉक होत नाही काय करावे. फॉर्म 21 मे रोजी भरला होता पेमेंट देखील केले होते परंतु आज सबमीट होत नाही,"Please Read The Pop-Up Massage, You not Filled Mandatory Data there once you fill form will move forward"
I am unable to choose college it is only keeps buffering,Relogin and Check
I am unable to choose college it is only keeps buffering,Please try again after some time
"Applicant registration details are showing inactive, kindly guide this urgently",Please try again after some time
"I have completed all the steps of registration. While filling registration details, I am unable to fill the form as seen in the screenshot. As a result, my application is showing incomplete. Please help me in this regard.",Press The Next Button and Continue Fill all fields
I have complete all  the details but when I have lock the application form then I have a error missing registration details,This issues is solve please Just relog Your account
my date of birth is 29/09/2008 but it show 25/02/2010 after updated it show only 25/2/2010 what to do?,"If you want to edit your birth date , you can unlock form and edit birth date."
we have submitted the fee but the application has been hanged,please login and logout again and check your internet connection
When option form started . While first login dosent showing option form,This issues is solve please Just relog Your account
list of college to select option is not visible on portal,Thank you for reaching out. Could you please check if your internet connection is stable and try refreshing the page or clearing your browser cache.
"My registration id A0371747510 I have completed all first section of form with fees paying ,on last step of locking form it's coming incomplete registration details plz help",This issues is solve please Just relog Your account
click on payment and it comes to the attached screen. its going on in a circile like this and cannot make any payment,Just relog Your account refresh the dashboard
"After completing the application form i got to select the stream and language, but later the site showed error and now I cannot see the option for selecting the stream It is only showing the Application form Part 1 as locked",Please try refreshing the page or clearing your browser cache.
Ive tried to lock the application form but I am not able to do So..,Kindly ensure all mandatory fields are filled and documents uploaded.
Ive tried to lock the application form but I am not able to do So..,Kindly ensure all mandatory fields are filled and documents uploaded.
"Sir,
i paid fees but it can't reflect on web site and payment remain pending. plz pay fees payment details are phone pay id",Kindly note that payments made via PhonePe or other UPI apps may take some time to reflect. Please wait for a while and try refreshing the page.
I paid registration fees and the amt. got debited however due to network it didn't work and i had to pay again. hence i paid twice. will i get the first amt. refunded,you will get back between 4 to 7 working days.
"unable to see the part 2 form. after paying the fees i can't view the part 2 form details i want to add college, location, stream.",Lock the first form and you can see second form
self declarartion form showing date of 2021-22,"Using same form from 2021-22 , You can fill the form

Thank You"
Payment of ₹102.36 has been paid today via debit card but the fees is shown as pending in  the application,please provide the transaction id
I am trying to pay by Debit Card. But it is failure,please try again or use upi payment
"Dear all,
I, Amulya Mandar Joshi, had IT as main subject (compulsory by school) and got 100/100 marks in the subject. Still I am not able fill it as main subject. My percentage got down  by 2%. I request to please consider my appeal to add IT in the best of five subject.
Waiting for your favorable support.
Thanking you,
                                                                                                        Yours sincerely,
                                                                                                          Amulya Joshi","As per rules of registrations only compulsory subject can be filled. Optional subject not considered for best of 5.
Thank you."
form is filled proper  but cant lock,Check from starting again and  provide screenshot
"Sir/Madam, I have done online registratoion but the option form is not yet satarted this message is seen",Please provide screenshot or refresh the form once
I have paid payment but not yet updated,check after the 1 hour
"Initially the system was giving error when searching for colleges, and now I am unable to even access the search area at all.",re-login and check.
Payment not in process,check after the 1 hour
Part second can't display on dashboard,This issues is solve please Just relog Your account
"All details are filled still form is not getting locked, showing Missing Registration Details",This issues is solve please Just relog Your account
they are not allowing to fill the second part of the form,This issues is solve please Just relog Your account
Form II for college selection in disabled. we are not able to select the college.,This issues is solve please Just relog Your account
I have done my payment for form not showing that i have pending payment,check after the 1 hour
All Information is filled but can't lock application,Please provide screenshot
after completion of part 1 of registration process part 2 for college preferenceces not avialble what to do then,This issues is solve please Just relog Your account
Part 2  form not visible. Cannot fill CAP Options,This issues is solve please Just relog Your account
application form part II is unavailable for filling,This issues is solve please Just relog Your account
I cannot see part 2 form option on dashboard as when I completed part 1 form then the site crashed,This issues is solve please Just relog Your account
option form not available,Please provide screenshot
I have done with my payment but there is showing that i have not done my payment,please provide the screenshot or transaction id
"""The form fee has been paid, but the process is not yet complete.""",check after the 1 hour
payment,check after the 1 hour
"Despite of having filled up all mandatory items, still application form showing incomplete and cant able to lock the form",This issues is solve please Just relog Your account
Application Form (part-II) not appearing on my screen. Due to this i unable to select faculty and colleges.,This issues is solve please Just relog Your account
"Respected Sir/Madam,
I have mistakenly entered the Centre Number (1255976) instead of my actual Seat Number (094) in the student registration section. I realized that only the last part of my Index Number (Roll No.) is my actual seat number as per the ICSE admit card.

Kindly allow me to edit the seat number field or please update it to the correct value 094 from your end so that my marks can be fetched accurately.

I have not submitted Part 2 of the application yet. Please help me resolve this issue as soon as possible.

Thank you for your support.","You can re-register with correct Seat number and different mobile number, email id"
part 1 ahe pan part 2 nahi he 4 wela cyber cafe walya kade jaw lagat tyachya rawanya karawy lagatat 19  pasun roj chakara maratoy aamhi student,Sorry for this now This issues is solve please Just relog Your account
"Dear Sir/Madam,  You didn't provide option of State Bank of India (SBI) in the Payment option.",done it with upi or debit card we accept it
Hi - We are unable to lock the application form after payment of fees - Kindly help - We have verified all field and details for completeness - Kindly help,Sometime site reload itself because there are lot of traffic on the site. just relog your account and refresh your dashboard
When I am visiting to lock the form the form is not getting locked says registration details incomplete but when i visit that section its already filled and also grayed out i am unable to refill and its causing trouble in locking form.,This issues is solve please Just relog Your account
Form 1 completed but Form 2 is not visible,This issues is solve please Just relog Your account part II is active
"Dear Sir/Madam

I wish to change the incorrect seat number filled on my application form.
 Regards",Register again with new number and email id
we are belongs linguistic minority. can I fill form Open & Minority?,"Yes, you can fill form for open and minority."
DOCUMENTS ARE NOT GETTING UPLOADED,please provide attachment
Application form part 2 is not available for updating college details,This issues is solve please Just relog Your account part II is active
School/college lists are missing,Please provide screenshot
"Hello, I am writing to inform you that I have successfully completed and submitted Part 1 of the application form. However, I am currently unable to access or open Part 2 of the form.

Kindly assist me in resolving this issue so that I can complete the remaining part of the application process at the earliest.

Thank you for your support.",First lock the application part I and Application Part II is active now please check it
After making payment via UPI it shows validate the payment for 1 hour. failed to complete the registration process due to this,please check after the 1 hour
Not Able to see Part II form,This issues is solve please Just relog Your account
"The correction is to be done in the surname ""Chakraborty"".  the system is not allowing","You can edit or update your name
before application lock.
if you lock application form then 1st you can unlock application form then you can update your name."
Unable to choose the colleges,please provide the screenshot
All the mandatory fields are filled still the error showing resulting unable to lock the Application,This issues is solve please Just relog Your account
"Dear Madam /Sir

We were able to view and enter details in Part 2 Choosing the college of choice.
But suddenly this is not visible at all since 12  noon

We have paid the fees of Rs 102.18 , please resolve and provide the link for selection of the college 
Thank you 
regards","Our team is working on that,
Lock the first form then you can able to see second form still facing any problem provide screenshot and check after sometime"
I AM UNABLE TO DO PAYMENT,please wait for 30 minutes and do the payment
I sobiya sayyed the i am trying to complete my registration process but due to pending of fees my registration process in not able to complete i paid my fees but it is not showing my your side .i request you to look forward and solve my problem as soon as possible,Please check after the 1 hour
Part 2 not display how to select college,This issues is solve please Just relog Your account
Part 1 has been completed however am unable to see the section for part 2 to add the college selection,"Our team is working on that, 
Kindly verify/check after sometime still facing any problem let me know"
"Sir, Due to keyboard problem we have entered the incorrect Seat number , The correct Seat number is 8550163 instead of 855163, You are requested to kindly correct the same or suggest how to correct this",register again with new email id and number.
nt getting the option to fill part II of the form,"Our team is working on that, 
Kindly verify/check after sometime still facing any problem let me know"
College Prefrences not open,"Our team is working on that, 
Kindly verify/check after sometime still facing any problem let me know"
while attempting the payment it times out - attached screen shot,login again and check
"Dear sir/mam,  I have registered successfully on 21st may.2025. After then i  got USER id . I have filled properly everything ,but now today  i m unable to lock form. error coming Application form is incomplete-Missing section: registration details.    Kindly  do the needful & help me.",Check after 1 hour
"All the details filled but not able to proceed in final stage, Registration details already filled but showing error to fill the registration details.

for more information I am attaching the details accordingly.",Kindly check after one hour
"Dear Sir, I am fill the Full Application Form but do not Lock Application Form. Show this Error = Application form is incomplete. Missing sections: Registration Details
My Application Form No.  C1641535663",Kindly check after 12 pm
I have paid the fees of rs. 102.36 but it still shows that the payment is pending and there is no further changes is happening in the form and also the status of the form is showing incomplete so will i get the refund so that I can do re transaction.,please check after Sometime
We have paid the amount transaction number T2505261119447011733373 and collect Id AIR1QZRpZt64TRc7MbT3957841620QPAY02 amount debited - 102.36/- Please update on the same.,check after sometime
i have paid but still showing unpaid,login after sometime and check
I am from ICSE -  I have mentioned Unique ID as seat number instead of Index number for student registration. How do I correct the same?,"You can re-register with correct Seat number and different mobile number, email id."
"Payment is paid through Phone Pay but not updated.
Transaction Id. T2505261231453892918532
Paid: 102.36 Rs.",please check after 1 hour
PART 11 -college selection not visibile,Kindly check after 12 pm
The tabs for CAP Option (Part II) is not available for me. Please solve this issue.,Kindly check after 12 pm
Payment was debited but in form showing (payment pending),please check after the 30 minutes
"sir/madam, 

I fill the application form (Part-1) and payment successfully paid. Part- II can not be display.  Please guide us.",Kindly check after 12 pm
"After Locking the Application Form not able to see any next button, or next step to start the college selection process.",Kindly check after 12 pm
"transt id 2505261227588023852658
utr no 514612105562
aplication id l062344446
name zeba naushin basheer ahemad qureshi",please check after the 1 hour
My application status Part I is self verified and unable to see CAP filling option,Kindly check after 12 pm
"DEAR TEAM, I HAVE FILLED ALL APPLICATOIN FORM WITH THE CORRECT INFORMATION AND THE PAYMENT ALSO, BUT I AM UNABLE TO LOCK MY APPLICATOIN FORM. THERE IS DESPAYING A MESSEGE THE APPLICATOIN FORM IS INCOMPLETE MISSING SECTION IS REGESTRATION SECTION. I HAVE ALREADY FILLED THIS SECTION ALSO ALTHOUGH I CANNOT SUBMIT MY APPLICAITON. SO I REQUEST YOU KINLDY SUGGEST ME THE RIGHT SOLUTION FOR THIS. THANK YOU",Kindly check after 12 pm
"I have paid the registration fee but my login is showing the fee as pending.
Name  -  Hemant Sunil Vaidya
Registration No.   J0828191577",please check after the 1 hour
"The Application Form (Part-1) is filled, completed & Locked. But Application Form (Part-II) is not active & colleges/Stream not appearing.",Kindly check after 12 pm
Despite paying for the form thrice i am unable to lock application form pls look into the matter,Please provide screenshot
Date of registration for part 2,Kindly verify/check after sometime
PAYMET,please tell me in detail and provide screenshot
I had pay fee amount but payment was not confirmed by the website,please check after the 1 hour
We are unable to see the option to start filling out the application form (Part II). Please look into the same.,Kindly check after 12 pm
"i filled all my details,but it is coming",Kindly check after 12 pm
"नमस्कार,

मी Std. 11th Centralised Online Admission Process 2025–26 साठी माझं अॅडमिशन प्रोसेसिंग फी ₹100/- ऑनलाईन भरलं आहे. परंतु, पेमेंट केल्यानंतरही कन्फर्मेशन मिळालं नाही आहे.

माझे तपशील पुढीलप्रमाणे:

Application Form No: C0595337761

Name of the Applicant: KRUTIKA NITIN LAGADE

Seat Number: C059533

Board: SSC

Exam Month & Year: March 2025

Payment Date & Time: (26/05/2025)11:12am

Transaction ID: 514611010126",please check after the 1 hour
"I have done with the payment, and the money has been debited from my account. Kindly update the status of the payment",please check after the 1 hour
I have successfully complete my application  but when i have locked my application then show me one error thats was registration details are measing,Kindly ensure all mandatory fields are filled and documents uploaded.
Payment had paid but not yet confirmed from your side... Now how many times want to pay this amount... Their mentioned after 30 minute pay again... Have already paid.. So why again paid... ?,If your payment is successful then no need to pay again. If payment is fail then need to pay
College selection not visible,Kindly ensure all mandatory fields are filled and documents uploaded. just refresh your Dashboard and check internet connection
Don bosco,?
what to mention as seat number for ICSE ? IS IT UNIQUE ID OR WHAT IS IT?,Please enter your SSC  roll number or Hall ticket number
"hi good morning 
i have paid 2 time application fees can u please cancelled 1 payment which was done as per attachment","Can you please provide both SS. 
we will check and confirm."
Option to select preferred stream and college is not appearing,Re-login and check.
We have filled the form and locked it but college selection options are not yet available. Pls advise how to fill college names,Please logout and login again
"आदरणीय सर मैडम
जब मैने पेमेन्ट के लिये प्रोसेस करना है तो साईट आगे का ऑप्शन नही दे रही है कृपया मदत करें.",please provide the screenshot
Processing Fees pending even after selecting online g pay,just refresh your Dashboard and check internet connection
Payment Deducted But Not Showing On application,please check after the 1 hour
I have successfully complete my application  but when i have locked my application then show me one error thats was registration details are measing,Kindly ensure all mandatory fields are filled and documents uploaded.
We have filled UDISE number of school but Inhouse Quota option is not available in CATEGORY AND RESERVATION DETAILS,Kindly check after 1 pm
The registration is not responding it is showing incomplete why?,Kindly ensure all mandatory fields are filled and documents uploaded. just refresh your dashboard
Unable to fill registration details and without this form is showing still Incomplete,Kindly ensure all mandatory fields are filled and documents uploaded.
"Payment made, but the website says it's processing and says payment is pending.",please provide the screenshot
Iam unable to update registration details as it is not in editable format,Make sure your form is not locked
Unable to make payment as facing the error on the below attached screenshot.  Please help,You have to wait for 30 min after refresh check
"Application form status shows status - incomplete 
missing section of registration details",Kindly ensure all mandatory fields are filled and documents uploaded.
WILL UPLOAD SCHOOL LEAVING CERTIFICATE,"Yes, If you have upload it."
"payment done but not reflected in profile, kindly find the screenshot of payment",Your payment is successful please refresh the page and check payment receipt
When i am proceeding proceed to pay it is saing validate and when i click at validate it gets redirected to proceed to pay counter,please wait the 30 minutes
"Dear Team ,

I am not able to pay my fees. 
I am facing online payment processing issue .
Kindly look into it .

Regards
Debadrit Biswas
Email:debadrit.bis@gmail.com",please click on validate and wait the 30 minutes
Edit registration inf,NA
AFTER SUBMITTING REQUIRED DETAILS FORM IS NOT GETTTING SUBMITTED,Kindly ensure all mandatory fields are filled and documents uploaded.
"I paid 101.36 Rupaye at 11.18 a. m. The amount is deducted from my bank a/c. but, the payment option still shows not paying.",please check after the 1 hour
Fees debited but not showing,please check after the 1 hour
"My marks in the SSC board exam were 469/500 and percentage is 93.80%. However the marks in education qualification section is 464 and the percentage remains at 93.80. Please look into this.
Thank You",We get data from board
"Hi Team, Bymistake I have updated a Wrong Name - Correct Name is as below Please do the correction .

MOHAMMED AYAAN ANSARI","IF you are not an SSC student, You can change it in personal details"
"Hello, I have successfully made the online payment of Rs. 102.36 for the online admission process. However, the payment is not reflecting in the account and system is asking for repayment for the same. I want to lock the form, kindly help at the earliest.",please check after the 1 hour
"Hi, We have done the payment but not reflecting on website UPI payment reference number - 514612635708, Please find the attachment.",please check after the 1 hour
"After adding in-house college code, still it's asking for the code and not able to complete part 1","Please provide the screenshot so we can understand the issue,"
"Dear Sir , 
I have completed the registration with complete details and have paid the registration fees (copy of receipt enclosed) . However I am not able to lock my application form. Can you please arrange to resolve the problem so that I can move to CAP options",Kindly ensure all mandatory fields are filled and documents uploaded.
"WHAT TO DO IF ITS SHOWING INCOMPLETE STATUS EVEN IF EVERY DETAIL REQUIRED IS FEILD,",Kindly ensure all mandatory fields are filled and documents uploaded.
"I HAVE NOT UPLOADED REQUIRED DOCUMENTS, BUT WHILE LOCKING THE APPLICATION FORM 
IT SHOWS REGISTRATION DETAILS INCOMLETE.
BUT REGITRATION DETAILS ARE COMLETED CAREFULLY AND NOW IT IS NOT EDITABLE.
WHAT YO DO?","IF you SSC board and Open category, then document not mandatory.
if you want to upload document then  unlock application form and upload document."
I AM NOT ABLE TO SUBMIT THE PART 1 FORM BECUASE IT SHOWS THAT REGISTERATION FORM IN INCOMPLETE EVEN THOUGH I HAVE SUBMITTED ALL THE DETAILS WHILE DOING STUDENT REGISTERATION,Kindly ensure all mandatory fields are filled and documents uploaded.
Form filled with all the correct details but at locking option is showing missing section:registration details.,Kindly ensure all mandatory fields are filled and documents uploaded.
Cbsc school dont have a index number,check your college is in inhouse quota
"Unable to submit my application, shows error stating incomplete details under registration. All details  are correct, requesting you to kindly lock my application at the earliest possible. Thank you",We understand your concern just refresh your feed and check internet connection
please look fast,please check after the 1 hour
"Admission processing fees have been paid, yet didn't receive the confirmation.",please check after the 1 hour
"I have filled the entire form and have paid the fees as well. I am unable to lock the form and getting an error message constantly. Please check the image.
Request you to please help me sort the issue at your earliest.",Kindly ensure all mandatory fields are filled and documents uploaded.
Amount was deducted but payment was not confirmed,please check after the 1 hour
Not able to pay online,Kindly verify/check after sometime
"Sir, Grievance No. GRVAPL1 is showing RESOLVED however in the form it is not showing the correct no, Kindly Help",Please share screenshot.
Pls check registration details filled but showing missing,Please logout and login again
For the payment of registration form page is not open & can't shows the payment methods.,please click on the proceed to login fill the information then you will see the payment option
But still showing me pending for Payment,please check after the 1 hour
Payment Deducted But Not Updated,please check after the 1 hour
All my registration details are fillied properly but at the time of lock the application form the website gives the error of Missing Registration Details. How i solve it. Please guide for the same as soon as possible. I also pay the application fees.,Kindly check after sometime
Unaable to lock form. Error showing incomplete registration details. But Its filled.,Kindly ensure all mandatory fields are filled and documents uploaded.
after registration filled part I not locked and not allowing to fill the part II,Kindly check after 1 pm
"Dear Sir 

i pay the admission processing fee ,but payment is deducted and still not updated in application form 
APPLICATION NO A1878729903",please check after the 1 hour
माझे फॉर्म भरताना पैसे भरले असून मला पैसे भरले नाही असा मेसेज दाखवत आहे.,please provide the screenshot or transaction id
We have filled up all details in Registration details but still it is showing incomplete,Kindly ensure all mandatory fields are filled and documents uploaded.
Test ignore,test again
.,please provide the screenshot.
I Have Payment Is Complete But Not Show Paid In Website,please check after the 1 hour
"We have completed a payment for the application form 1, but it hasn't reflected in the form",please check after the 1 hour
Not able to make the payment of Rs.100 as the link is not active. How to make it active?,please refresh page and login again
Server down Err,please refresh the page
We have filled the form and have already paid the fees but unable to loack the Application. I shows some error in regitration Deails,relog Your account and unlock your form the option will be editable there.
While locking the application form there is coming Application Form Is Incomplete Missing Sections Registration Details but after checking registration details all is complete but the application form is not being Lock please resolve this issue,Kindly check after 1 pm
Server Err,please refresh the page and do payment after the 30 minutes
While locking the application form there is coming Application Form Is Incomplete Missing Sections Registration Details but after checking registration details all is complete but the application form is not being Lock please resolve this issue,"Our team is working on that, 
Kindly verify/check after sometime still facing any problem let me know"
"Dear Sir/Madam,
Mai Meri Beti Ka Ragistration 21 May Ko Kiya Hu Lekin Mujhe Uska Koi Text Massage/Email Nahi Aaya Hai, Application Login Ho Raha Hai Form Fill To Ho Lekin Final Submission Ke Waqt Error Aa Raha Hai,Form Incomplete Hai Aisa Bata Raha Hai Aur Form 01 Lock Nahi Ho Raha Aap Bataye Kya Kare.",Account ko relog kre refresh kre all mandatory fields are filled and documents uploaded. just refresh your Dashboard and check internet connection
"Hi 
I am  not  able to pay fees due to  admission portal payment processing issue .
The attached screen shot for your reference .
Please help .",please check after 1 hour
"i do registration successfully, fill part 1 form but can't lock the form so not able to fill form part II
so help us and solve my problem as early as possible",Just relog Your account and unlock your form the option will be editable
We have made the payment of admission fee still did not received and confirmation please advice.,please check after the 1 hour
Payment is not completing,please wait for 30 minutes and do the payment
FEES PAID SCREENSHOT OF WHICH IS ATTACHED BUT RECEIPT OF THE SAME IS NOT GENERATED,please check after the 1 hour
School UDISE number filled . Still its giving error message and not letting option to choose In house Quota. Please see attached image for error,"Firstly check if a college is eligible for inhouse quota, if your college is eligible for inhouse quota thenit will be show for inhouse quota."
"validation not done during payment of Processing fees. Unable to fill further.


How to remove ""null"" from student name",please provide the screenshot of your both issues
Application Is Lock,Please provide screenshot
Called several time call center number but no one is responding.,"If you experience any issues during registration, please inform us."
The site isn't letting me complete the payment and the payment link has now expired,Wait for 30 min after you can do
Fee Paid but shown Pending of AFRIN AMJAD SAYYAD,please check after 4 hour
I have paid the fees payment deducted but not showing on portal.,please check after 4 hour
Payment Done But Not Show In Application And Not Lock Part 1,your payment issue will resolve in 4 hours please provide the screenshot of your application not lock option
PAYMENT ISUUE UTR NO 514613798467,please check after 4 hour
"Dear Team, I have filled all the information however I am not able to lock application since system is showing an error that application is incomplete & missing section is Registration Details. Registration fees is also deducted. Please help me with solution of this issue as I am not able to select colleges since application is not getting locked. Thanks for your support
Warm Regards,
Hitansh Patil
8591686865 / 9594006770",Kindly check after 1 pm
"Good afternoon team,
As after filling entire form proceed accordingly with the payment and also payment has been done via google pay. The same has been debited from my account but not reflecting on your portal.
Kindly check the same at earliest.",please check after 4 hour
payment deducted but not issued,please check after 4 hour
"Login id - C2608593633
Password -Pass@1234
Notification 
Missing section :- Registraation details",Kindly check after 1 pm
ONLINE PAYMENT HOT NAHI...,please provide the screenshot
payment by upi was successful but noupdate in system,refresh the page and check after sometime.
